Business Name,Address,Phone Number,Website,Email
MangoSeed + ZURILEE,"755 Flatbush Ave, Brooklyn, NY 11226",(718) 513-6084,http://www.mangoseedbrooklyn.com/,
Carnegie Diner & Cafe,"205 W 57th St, New York, NY 10019",(212) 664-1001,http://www.carnegiediner.com/,
Cuba,"222 Thompson St, New York, NY 10012",(212) 420-7878,http://www.cubanyc.com/,
Le Bernardin,"155 W 51st St, New York, NY 10019",(212) 554-1515,http://www.le-bernardin.com/,
The Modern,"9 W 53rd St, New York, NY 10019",(212) 333-1220,https://www.themodernnyc.com/,
Buddakan,"75 9th Ave, New York, NY 10011",(212) 989-6699,http://www.buddakannyc.com/?utm_source=Google%20My%20Business&utm_medium=Website%20Button,
Marea,"240 Central Park S, New York, NY 10019",(212) 582-5100,http://www.marea-nyc.com/,
The Migrant Kitchen,"45 Stone St, New York, NY 10004",(917) 747-5601,https://themigrantkitchennyc.com/,
Daniel,"60 E 65th St, New York, NY 10065",(212) 288-0033,http://www.danielnyc.com/,
Kochi,"652 10th Ave, New York, NY 10036",(646) 478-7308,http://kochinyc.com/,
Asiate,"80 Columbus Cir, New York, NY 10023",(212) 805-8881,https://www.mandarinoriental.com/new-york/manhattan/fine-dining/restaurants/american-cuisine/asiate?htl=MONYC&kw=MONYC_asiate&eng=google&src=local,
The NoMad Restaurant,"1170 Broadway, New York, NY 10001",(212) 796-1500,https://www.thenomadhotel.com/new-york/dining/,
Gramercy Tavern,"42 E 20th St, New York, NY 10003",(212) 477-0777,http://www.gramercytavern.com/,
Wildair.,"142 Orchard St, New York, NY 10002",(646) 964-5624,http://wildair.nyc/,
Le Coucou,"138 Lafayette St, New York, NY 10013",(212) 271-4252,https://www.lecoucou.com/?utm_source=Google%20My%20Business&utm_medium=Website%20Button,
Olio e Piú,"3 Greenwich Ave, New York, NY 10014",(212) 243-6546,http://www.olionyc.com/,
THE GRILL,"99 E 52nd St, New York, NY 10022",(212) 375-9001,http://www.thegrillnewyork.com/,
La Grenouille,"3 E 52nd St, New York, NY 10022",(212) 752-1495,http://www.la-grenouille.com/,
Per Se,"4th Floor Time Warner Center, 10 Columbus Cir, New York, 10019",(212) 823-9335,https://www.thomaskeller.com/perseny,
Song' E Napule NYC,"146 W Houston St, New York, NY 10012",(212) 533-1242,https://songenapule.nyc/,
Eleven Madison Park,"11 Madison Ave, New York, NY 10010",(212) 889-0905,https://www.elevenmadisonpark.com/,
Upland,"345 Park Ave S, New York, NY 10010",(212) 686-1006,https://www.uplandnyc.com/?utm_source=Google%20My%20Business&utm_medium=Website%20Button,
Upland,"345 Park Ave S, New York, NY 10010",(212) 686-1006,https://www.uplandnyc.com/?utm_source=Google%20My%20Business&utm_medium=Website%20Button,
El Vez and Burrito Bar,"259 Vesey St, New York, NY 10282",(212) 233-2500,https://elveznyc.com/?utm_source=Google%20My%20Business&utm_medium=Website%20Button,
Momofuku Ko,"8 Extra Pl, New York, NY 10003",(212) 203-8095,https://ko.momofuku.com/,
Manhatta,"28 Liberty St 60th floor, New York, NY 10005",(212) 230-5788,https://www.manhattarestaurant.com/,
Eats,"1055 Lexington Ave, New York, NY 10021",(212) 396-3287,http://www.eatsonlex.com/,
Eats,"1055 Lexington Ave, New York, NY 10021",(212) 396-3287,http://www.eatsonlex.com/,
Los Tacos No. 1,"75 9th Ave, New York, NY 10011",0,https://www.lostacos1.com/,
Michael's,"24 W 55th St, New York, NY 10019",(212) 767-0555,http://michaelsnewyork.com/,
Cote,"16 W 22nd St, New York, NY 10010",(212) 401-7986,http://www.cotenyc.com/,
Blue Hill,"75 Washington Pl, New York, NY 10011",(212) 539-1776,https://www.bluehillfarm.com/,
Benoit New York,"60 W 55th St, New York, NY 10019",(646) 943-7373,http://www.benoitny.com/,
Piccola Cucina Osteria Siciliana,"75 Thompson St, New York, NY 10012",(646) 781-9183,http://www.piccolacucinagroup.com/,
Estela,"47 E Houston St 1st floor, New York, NY 10012",(212) 219-7693,http://estelanyc.com/,
Superiority Burger,"430 E 9th St, New York, NY 10009",0,http://www.superiorityburger.com/,
Ocean Prime,"123 W 52nd St, New York, NY 10019",(212) 956-1404,http://www.ocean-prime.com/locations/new-york-city,
Pastis,"52 Gansevoort St, New York, NY 10014",(212) 929-4844,https://pastisnyc.com/?utm_source=Google%20My%20Business&utm_medium=Website%20Button,
Delmonico's,"56 Beaver St, New York, NY 10004",(212) 509-1144,https://delmonicos.com/,
Frenchette,"241 W Broadway, New York, NY 10013",(212) 334-3883,http://frenchettenyc.com/,
Jungsik,"2 Harrison St, New York, NY 10013",(212) 219-0900,http://www.jungsik.com/,
Jean-Georges,"1 Central Park West, New York, NY 10023",(212) 299-3900,http://www.jean-georgesrestaurant.com/jean-georges/,
GATO,"324 Lafayette St, New York, NY 10012",(212) 334-6400,http://gatonyc.com/,
